File Path,Line Number,Violation Type,Priority,Description,Line Content,Suggested Fix
examples/json_examples.asthra,93,auto_type,MEDIUM,Auto type annotation should be explicit type,"let first_element_result: auto = json::array_get(array, 0);","let first_element_result: <explicit_type> = json::array_get(array, 0);"
examples/json_examples.asthra,94,auto_type,MEDIUM,Auto type annotation should be explicit type,let first_element: auto = match first_element_result {;,let first_element: <explicit_type> = match first_element_result {;
examples/json_examples.asthra,98,auto_type,MEDIUM,Auto type annotation should be explicit type,let first_num_result: auto = json::as_number(first_element);,let first_num_result: <explicit_type> = json::as_number(first_element);
examples/json_examples.asthra,99,auto_type,MEDIUM,Auto type annotation should be explicit type,let first_num: auto = match first_num_result {;,let first_num: <explicit_type> = match first_num_result {;
examples/json_examples.asthra,105,auto_type,MEDIUM,Auto type annotation should be explicit type,"let fourth_element_result: auto = json::array_get(array, 3);","let fourth_element_result: <explicit_type> = json::array_get(array, 3);"
examples/json_examples.asthra,106,auto_type,MEDIUM,Auto type annotation should be explicit type,let fourth_element: auto = match fourth_element_result {;,let fourth_element: <explicit_type> = match fourth_element_result {;
examples/json_examples.asthra,110,auto_type,MEDIUM,Auto type annotation should be explicit type,let fourth_str_result: auto = json::as_string(fourth_element);,let fourth_str_result: <explicit_type> = json::as_string(fourth_element);
examples/json_examples.asthra,111,auto_type,MEDIUM,Auto type annotation should be explicit type,let fourth_str: auto = match fourth_str_result {;,let fourth_str: <explicit_type> = match fourth_str_result {;
examples/json_examples.asthra,121,auto_type,MEDIUM,Auto type annotation should be explicit type,let object_json: auto = '{;,let object_json: <explicit_type> = '{;
examples/json_examples.asthra,130,auto_type,MEDIUM,Auto type annotation should be explicit type,let object_result: auto = json::parse(object_json);,let object_result: <explicit_type> = json::parse(object_json);
examples/json_examples.asthra,133,auto_type,MEDIUM,Auto type annotation should be explicit type,let obj_result: auto = json::as_object(value);,let obj_result: <explicit_type> = json::as_object(value);
examples/json_examples.asthra,134,auto_type,MEDIUM,Auto type annotation should be explicit type,let obj: auto = match obj_result {;,let obj: <explicit_type> = match obj_result {;
examples/json_examples.asthra,141,auto_type,MEDIUM,Auto type annotation should be explicit type,"let name_value_result: auto = json::object_get(obj, ""name"");","let name_value_result: <explicit_type> = json::object_get(obj, ""name"");"
examples/json_examples.asthra,142,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_value: auto = match name_value_result {;,let name_value: <explicit_type> = match name_value_result {;
examples/json_examples.asthra,146,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_result: auto = json::as_string(name_value);,let name_result: <explicit_type> = json::as_string(name_value);
examples/json_examples.asthra,147,auto_type,MEDIUM,Auto type annotation should be explicit type,let name: auto = match name_result {;,let name: <explicit_type> = match name_result {;
examples/json_examples.asthra,153,auto_type,MEDIUM,Auto type annotation should be explicit type,"let age_value_result: auto = json::object_get(obj, ""age"");","let age_value_result: <explicit_type> = json::object_get(obj, ""age"");"
examples/json_examples.asthra,154,auto_type,MEDIUM,Auto type annotation should be explicit type,let age_value: auto = match age_value_result {;,let age_value: <explicit_type> = match age_value_result {;
examples/json_examples.asthra,158,auto_type,MEDIUM,Auto type annotation should be explicit type,let age_result: auto = json::as_number(age_value);,let age_result: <explicit_type> = json::as_number(age_value);
examples/json_examples.asthra,159,auto_type,MEDIUM,Auto type annotation should be explicit type,let age: auto = match age_result {;,let age: <explicit_type> = match age_result {;
examples/json_examples.asthra,165,auto_type,MEDIUM,Auto type annotation should be explicit type,"let active_value_result: auto = json::object_get(obj, ""active"");","let active_value_result: <explicit_type> = json::object_get(obj, ""active"");"
examples/json_examples.asthra,166,auto_type,MEDIUM,Auto type annotation should be explicit type,let active_value: auto = match active_value_result {;,let active_value: <explicit_type> = match active_value_result {;
examples/json_examples.asthra,170,auto_type,MEDIUM,Auto type annotation should be explicit type,let active_result: auto = json::as_bool(active_value);,let active_result: <explicit_type> = json::as_bool(active_value);
examples/json_examples.asthra,171,auto_type,MEDIUM,Auto type annotation should be explicit type,let active: auto = match active_result {;,let active: <explicit_type> = match active_result {;
examples/json_examples.asthra,187,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_nested_structures() -> Result<void, json::JSONError> {","fn example_nested_structures(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,190,auto_type,MEDIUM,Auto type annotation should be explicit type,let nested_json: auto = '{;,let nested_json: <explicit_type> = '{;
examples/json_examples.asthra,217,auto_type,MEDIUM,Auto type annotation should be explicit type,let result: auto = json::parse(nested_json);,let result: <explicit_type> = json::parse(nested_json);
examples/json_examples.asthra,220,auto_type,MEDIUM,Auto type annotation should be explicit type,let root_obj_result: auto = json::as_object(root_value);,let root_obj_result: <explicit_type> = json::as_object(root_value);
examples/json_examples.asthra,221,auto_type,MEDIUM,Auto type annotation should be explicit type,let root_obj: auto = match root_obj_result {;,let root_obj: <explicit_type> = match root_obj_result {;
examples/json_examples.asthra,227,auto_type,MEDIUM,Auto type annotation should be explicit type,"let user_value_result: auto = json::object_get(root_obj, ""user"");","let user_value_result: <explicit_type> = json::object_get(root_obj, ""user"");"
examples/json_examples.asthra,228,auto_type,MEDIUM,Auto type annotation should be explicit type,let user_value: auto = match user_value_result {;,let user_value: <explicit_type> = match user_value_result {;
examples/json_examples.asthra,232,auto_type,MEDIUM,Auto type annotation should be explicit type,let user_obj_result: auto = json::as_object(user_value);,let user_obj_result: <explicit_type> = json::as_object(user_value);
examples/json_examples.asthra,233,auto_type,MEDIUM,Auto type annotation should be explicit type,let user_obj: auto = match user_obj_result {;,let user_obj: <explicit_type> = match user_obj_result {;
examples/json_examples.asthra,238,auto_type,MEDIUM,Auto type annotation should be explicit type,"let profile_value_result: auto = json::object_get(user_obj, ""profile"");","let profile_value_result: <explicit_type> = json::object_get(user_obj, ""profile"");"
examples/json_examples.asthra,239,auto_type,MEDIUM,Auto type annotation should be explicit type,let profile_value: auto = match profile_value_result {;,let profile_value: <explicit_type> = match profile_value_result {;
examples/json_examples.asthra,243,auto_type,MEDIUM,Auto type annotation should be explicit type,let profile_obj_result: auto = json::as_object(profile_value);,let profile_obj_result: <explicit_type> = json::as_object(profile_value);
examples/json_examples.asthra,244,auto_type,MEDIUM,Auto type annotation should be explicit type,let profile_obj: auto = match profile_obj_result {;,let profile_obj: <explicit_type> = match profile_obj_result {;
examples/json_examples.asthra,249,auto_type,MEDIUM,Auto type annotation should be explicit type,"let name_value_result: auto = json::object_get(profile_obj, ""name"");","let name_value_result: <explicit_type> = json::object_get(profile_obj, ""name"");"
examples/json_examples.asthra,250,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_value: auto = match name_value_result {;,let name_value: <explicit_type> = match name_value_result {;
examples/json_examples.asthra,254,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_result: auto = json::as_string(name_value);,let name_result: <explicit_type> = json::as_string(name_value);
examples/json_examples.asthra,255,auto_type,MEDIUM,Auto type annotation should be explicit type,let name: auto = match name_result {;,let name: <explicit_type> = match name_result {;
examples/json_examples.asthra,262,auto_type,MEDIUM,Auto type annotation should be explicit type,"let prefs_value_result: auto = json::object_get(profile_obj, ""preferences"");","let prefs_value_result: <explicit_type> = json::object_get(profile_obj, ""preferences"");"
examples/json_examples.asthra,263,auto_type,MEDIUM,Auto type annotation should be explicit type,let prefs_value: auto = match prefs_value_result {;,let prefs_value: <explicit_type> = match prefs_value_result {;
examples/json_examples.asthra,267,auto_type,MEDIUM,Auto type annotation should be explicit type,let prefs_obj_result: auto = json::as_object(prefs_value);,let prefs_obj_result: <explicit_type> = json::as_object(prefs_value);
examples/json_examples.asthra,268,auto_type,MEDIUM,Auto type annotation should be explicit type,let prefs_obj: auto = match prefs_obj_result {;,let prefs_obj: <explicit_type> = match prefs_obj_result {;
examples/json_examples.asthra,273,auto_type,MEDIUM,Auto type annotation should be explicit type,"let theme_value_result: auto = json::object_get(prefs_obj, ""theme"");","let theme_value_result: <explicit_type> = json::object_get(prefs_obj, ""theme"");"
examples/json_examples.asthra,274,auto_type,MEDIUM,Auto type annotation should be explicit type,let theme_value: auto = match theme_value_result {;,let theme_value: <explicit_type> = match theme_value_result {;
examples/json_examples.asthra,278,auto_type,MEDIUM,Auto type annotation should be explicit type,let theme_result: auto = json::as_string(theme_value);,let theme_result: <explicit_type> = json::as_string(theme_value);
examples/json_examples.asthra,279,auto_type,MEDIUM,Auto type annotation should be explicit type,let theme: auto = match theme_result {;,let theme: <explicit_type> = match theme_result {;
examples/json_examples.asthra,286,auto_type,MEDIUM,Auto type annotation should be explicit type,"let roles_value_result: auto = json::object_get(user_obj, ""roles"");","let roles_value_result: <explicit_type> = json::object_get(user_obj, ""roles"");"
examples/json_examples.asthra,287,auto_type,MEDIUM,Auto type annotation should be explicit type,let roles_value: auto = match roles_value_result {;,let roles_value: <explicit_type> = match roles_value_result {;
examples/json_examples.asthra,291,auto_type,MEDIUM,Auto type annotation should be explicit type,let roles_array_result: auto = json::as_array(roles_value);,let roles_array_result: <explicit_type> = json::as_array(roles_value);
examples/json_examples.asthra,292,auto_type,MEDIUM,Auto type annotation should be explicit type,let roles_array: auto = match roles_array_result {;,let roles_array: <explicit_type> = match roles_array_result {;
examples/json_examples.asthra,298,auto_type,MEDIUM,Auto type annotation should be explicit type,"let first_role_value_result: auto = json::array_get(roles_array, 0);","let first_role_value_result: <explicit_type> = json::array_get(roles_array, 0);"
examples/json_examples.asthra,299,auto_type,MEDIUM,Auto type annotation should be explicit type,let first_role_value: auto = match first_role_value_result {;,let first_role_value: <explicit_type> = match first_role_value_result {;
examples/json_examples.asthra,303,auto_type,MEDIUM,Auto type annotation should be explicit type,let first_role_result: auto = json::as_string(first_role_value);,let first_role_result: <explicit_type> = json::as_string(first_role_value);
examples/json_examples.asthra,304,auto_type,MEDIUM,Auto type annotation should be explicit type,let first_role: auto = match first_role_result {;,let first_role: <explicit_type> = match first_role_result {;
examples/json_examples.asthra,320,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_serialization() -> Result<void, json::JSONError> {","fn example_serialization(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,329,auto_type,MEDIUM,Auto type annotation should be explicit type,let simple_value: auto = json::JSONValue.Object(simple_obj);,let simple_value: <explicit_type> = json::JSONValue.Object(simple_obj);
examples/json_examples.asthra,330,auto_type,MEDIUM,Auto type annotation should be explicit type,let simple_json_result: auto = json::stringify(simple_value);,let simple_json_result: <explicit_type> = json::stringify(simple_value);
examples/json_examples.asthra,331,auto_type,MEDIUM,Auto type annotation should be explicit type,let simple_json: auto = match simple_json_result {;,let simple_json: <explicit_type> = match simple_json_result {;
examples/json_examples.asthra,366,auto_type,MEDIUM,Auto type annotation should be explicit type,let complex_value: auto = json::JSONValue.Object(user);,let complex_value: <explicit_type> = json::JSONValue.Object(user);
examples/json_examples.asthra,367,auto_type,MEDIUM,Auto type annotation should be explicit type,let complex_json_result: auto = json::stringify(complex_value);,let complex_json_result: <explicit_type> = json::stringify(complex_value);
examples/json_examples.asthra,368,auto_type,MEDIUM,Auto type annotation should be explicit type,let complex_json: auto = match complex_json_result {;,let complex_json: <explicit_type> = match complex_json_result {;
examples/json_examples.asthra,381,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_pretty_printing() -> Result<void, json::JSONError> {","fn example_pretty_printing(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,404,auto_type,MEDIUM,Auto type annotation should be explicit type,let data_value: auto = json::JSONValue.Object(data);,let data_value: <explicit_type> = json::JSONValue.Object(data);
examples/json_examples.asthra,407,auto_type,MEDIUM,Auto type annotation should be explicit type,let pretty_config: auto = json::JSONSerializeConfig {;,let pretty_config: <explicit_type> = json::JSONSerializeConfig {;
examples/json_examples.asthra,415,auto_type,MEDIUM,Auto type annotation should be explicit type,"let pretty_json_result: auto = json::stringify_with_config(data_value, pretty_config);","let pretty_json_result: <explicit_type> = json::stringify_with_config(data_value, pretty_config);"
examples/json_examples.asthra,416,auto_type,MEDIUM,Auto type annotation should be explicit type,let pretty_json: auto = match pretty_json_result {;,let pretty_json: <explicit_type> = match pretty_json_result {;
examples/json_examples.asthra,430,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_error_handling() -> Result<void, json::JSONError> {","fn example_error_handling(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,446,auto_type,MEDIUM,Auto type annotation should be explicit type,let test_json: auto = test_cases[i];,let test_json: <explicit_type> = test_cases[i];
examples/json_examples.asthra,449,auto_type,MEDIUM,Auto type annotation should be explicit type,let result: auto = json::parse(test_json);,let result: <explicit_type> = json::parse(test_json);
examples/json_examples.asthra,487,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_custom_configuration() -> Result<void, json::JSONError> {","fn example_custom_configuration(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,491,auto_type,MEDIUM,Auto type annotation should be explicit type,let relaxed_config: auto = json::JSONConfig {;,let relaxed_config: <explicit_type> = json::JSONConfig {;
examples/json_examples.asthra,501,auto_type,MEDIUM,Auto type annotation should be explicit type,let config_json: auto = '{;,let config_json: <explicit_type> = '{;
examples/json_examples.asthra,520,auto_type,MEDIUM,Auto type annotation should be explicit type,"let result: auto = json::parse_with_config(config_json, relaxed_config);","let result: <explicit_type> = json::parse_with_config(config_json, relaxed_config);"
examples/json_examples.asthra,524,auto_type,MEDIUM,Auto type annotation should be explicit type,let obj_result: auto = json::as_object(value);,let obj_result: <explicit_type> = json::as_object(value);
examples/json_examples.asthra,525,auto_type,MEDIUM,Auto type annotation should be explicit type,let obj: auto = match obj_result {;,let obj: <explicit_type> = match obj_result {;
examples/json_examples.asthra,531,auto_type,MEDIUM,Auto type annotation should be explicit type,"let db_value_result: auto = json::object_get(obj, ""database"");","let db_value_result: <explicit_type> = json::object_get(obj, ""database"");"
examples/json_examples.asthra,532,auto_type,MEDIUM,Auto type annotation should be explicit type,let db_value: auto = match db_value_result {;,let db_value: <explicit_type> = match db_value_result {;
examples/json_examples.asthra,536,auto_type,MEDIUM,Auto type annotation should be explicit type,let db_obj_result: auto = json::as_object(db_value);,let db_obj_result: <explicit_type> = json::as_object(db_value);
examples/json_examples.asthra,537,auto_type,MEDIUM,Auto type annotation should be explicit type,let db_obj: auto = match db_obj_result {;,let db_obj: <explicit_type> = match db_obj_result {;
examples/json_examples.asthra,542,auto_type,MEDIUM,Auto type annotation should be explicit type,"let host_value_result: auto = json::object_get(db_obj, ""host"");","let host_value_result: <explicit_type> = json::object_get(db_obj, ""host"");"
examples/json_examples.asthra,543,auto_type,MEDIUM,Auto type annotation should be explicit type,let host_value: auto = match host_value_result {;,let host_value: <explicit_type> = match host_value_result {;
examples/json_examples.asthra,547,auto_type,MEDIUM,Auto type annotation should be explicit type,let host_result: auto = json::as_string(host_value);,let host_result: <explicit_type> = json::as_string(host_value);
examples/json_examples.asthra,548,auto_type,MEDIUM,Auto type annotation should be explicit type,let host: auto = match host_result {;,let host: <explicit_type> = match host_result {;
examples/json_examples.asthra,554,auto_type,MEDIUM,Auto type annotation should be explicit type,"let port_value_result: auto = json::object_get(db_obj, ""port"");","let port_value_result: <explicit_type> = json::object_get(db_obj, ""port"");"
examples/json_examples.asthra,555,auto_type,MEDIUM,Auto type annotation should be explicit type,let port_value: auto = match port_value_result {;,let port_value: <explicit_type> = match port_value_result {;
examples/json_examples.asthra,559,auto_type,MEDIUM,Auto type annotation should be explicit type,let port_result: auto = json::as_number(port_value);,let port_result: <explicit_type> = json::as_number(port_value);
examples/json_examples.asthra,560,auto_type,MEDIUM,Auto type annotation should be explicit type,let port: auto = match port_result {;,let port: <explicit_type> = match port_result {;
examples/json_examples.asthra,576,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_type_safety() -> Result<void, json::JSONError> {","fn example_type_safety(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,579,auto_type,MEDIUM,Auto type annotation should be explicit type,let mixed_json: auto = '{;,let mixed_json: <explicit_type> = '{;
examples/json_examples.asthra,588,auto_type,MEDIUM,Auto type annotation should be explicit type,let result: auto = json::parse(mixed_json);,let result: <explicit_type> = json::parse(mixed_json);
examples/json_examples.asthra,591,auto_type,MEDIUM,Auto type annotation should be explicit type,let obj_result: auto = json::as_object(value);,let obj_result: <explicit_type> = json::as_object(value);
examples/json_examples.asthra,592,auto_type,MEDIUM,Auto type annotation should be explicit type,let obj: auto = match obj_result {;,let obj: <explicit_type> = match obj_result {;
examples/json_examples.asthra,598,auto_type,MEDIUM,Auto type annotation should be explicit type,"let string_value_result: auto = json::object_get(obj, ""string_field"");","let string_value_result: <explicit_type> = json::object_get(obj, ""string_field"");"
examples/json_examples.asthra,599,auto_type,MEDIUM,Auto type annotation should be explicit type,let string_value: auto = match string_value_result {;,let string_value: <explicit_type> = match string_value_result {;
examples/json_examples.asthra,604,auto_type,MEDIUM,Auto type annotation should be explicit type,let str_val_result: auto = json::as_string(string_value);,let str_val_result: <explicit_type> = json::as_string(string_value);
examples/json_examples.asthra,605,auto_type,MEDIUM,Auto type annotation should be explicit type,let str_val: auto = match str_val_result {;,let str_val: <explicit_type> = match str_val_result {;
examples/json_examples.asthra,612,auto_type,MEDIUM,Auto type annotation should be explicit type,"let number_value_result: auto = json::object_get(obj, ""number_field"");","let number_value_result: <explicit_type> = json::object_get(obj, ""number_field"");"
examples/json_examples.asthra,613,auto_type,MEDIUM,Auto type annotation should be explicit type,let number_value: auto = match number_value_result {;,let number_value: <explicit_type> = match number_value_result {;
examples/json_examples.asthra,618,auto_type,MEDIUM,Auto type annotation should be explicit type,let num_val_result: auto = json::as_number(number_value);,let num_val_result: <explicit_type> = json::as_number(number_value);
examples/json_examples.asthra,619,auto_type,MEDIUM,Auto type annotation should be explicit type,let num_val: auto = match num_val_result {;,let num_val: <explicit_type> = match num_val_result {;
examples/json_examples.asthra,626,auto_type,MEDIUM,Auto type annotation should be explicit type,"let boolean_value_result: auto = json::object_get(obj, ""boolean_field"");","let boolean_value_result: <explicit_type> = json::object_get(obj, ""boolean_field"");"
examples/json_examples.asthra,627,auto_type,MEDIUM,Auto type annotation should be explicit type,let boolean_value: auto = match boolean_value_result {;,let boolean_value: <explicit_type> = match boolean_value_result {;
examples/json_examples.asthra,632,auto_type,MEDIUM,Auto type annotation should be explicit type,let bool_val_result: auto = json::as_bool(boolean_value);,let bool_val_result: <explicit_type> = json::as_bool(boolean_value);
examples/json_examples.asthra,633,auto_type,MEDIUM,Auto type annotation should be explicit type,let bool_val: auto = match bool_val_result {;,let bool_val: <explicit_type> = match bool_val_result {;
examples/json_examples.asthra,640,auto_type,MEDIUM,Auto type annotation should be explicit type,"let null_value_result: auto = json::object_get(obj, ""null_field"");","let null_value_result: <explicit_type> = json::object_get(obj, ""null_field"");"
examples/json_examples.asthra,641,auto_type,MEDIUM,Auto type annotation should be explicit type,let null_value: auto = match null_value_result {;,let null_value: <explicit_type> = match null_value_result {;
examples/json_examples.asthra,649,auto_type,MEDIUM,Auto type annotation should be explicit type,"let array_value_result: auto = json::object_get(obj, ""array_field"");","let array_value_result: <explicit_type> = json::object_get(obj, ""array_field"");"
examples/json_examples.asthra,650,auto_type,MEDIUM,Auto type annotation should be explicit type,let array_value: auto = match array_value_result {;,let array_value: <explicit_type> = match array_value_result {;
examples/json_examples.asthra,655,auto_type,MEDIUM,Auto type annotation should be explicit type,let arr_result: auto = json::as_array(array_value);,let arr_result: <explicit_type> = json::as_array(array_value);
examples/json_examples.asthra,656,auto_type,MEDIUM,Auto type annotation should be explicit type,let arr: auto = match arr_result {;,let arr: <explicit_type> = match arr_result {;
examples/json_examples.asthra,663,auto_type,MEDIUM,Auto type annotation should be explicit type,"let object_value_result: auto = json::object_get(obj, ""object_field"");","let object_value_result: <explicit_type> = json::object_get(obj, ""object_field"");"
examples/json_examples.asthra,664,auto_type,MEDIUM,Auto type annotation should be explicit type,let object_value: auto = match object_value_result {;,let object_value: <explicit_type> = match object_value_result {;
examples/json_examples.asthra,669,auto_type,MEDIUM,Auto type annotation should be explicit type,let nested_obj_result: auto = json::as_object(object_value);,let nested_obj_result: <explicit_type> = json::as_object(object_value);
examples/json_examples.asthra,670,auto_type,MEDIUM,Auto type annotation should be explicit type,let nested_obj: auto = match nested_obj_result {;,let nested_obj: <explicit_type> = match nested_obj_result {;
examples/json_examples.asthra,678,auto_type,MEDIUM,Auto type annotation should be explicit type,let type_mismatch_result: auto = json::as_number(string_value);,let type_mismatch_result: <explicit_type> = json::as_number(string_value);
examples/json_examples.asthra,699,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_manipulation() -> Result<void, json::JSONError> {","fn example_manipulation(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,717,auto_type,MEDIUM,Auto type annotation should be explicit type,"let modified_value_result: auto = json::array_get(dynamic_array, 1);","let modified_value_result: <explicit_type> = json::array_get(dynamic_array, 1);"
examples/json_examples.asthra,718,auto_type,MEDIUM,Auto type annotation should be explicit type,let modified_value: auto = match modified_value_result {;,let modified_value: <explicit_type> = match modified_value_result {;
examples/json_examples.asthra,722,auto_type,MEDIUM,Auto type annotation should be explicit type,let modified_num_result: auto = json::as_number(modified_value);,let modified_num_result: <explicit_type> = json::as_number(modified_value);
examples/json_examples.asthra,723,auto_type,MEDIUM,Auto type annotation should be explicit type,let modified_num: auto = match modified_num_result {;,let modified_num: <explicit_type> = match modified_num_result {;
examples/json_examples.asthra,748,auto_type,MEDIUM,Auto type annotation should be explicit type,"let updated_count_result: auto = json::object_get(dynamic_object, ""count"");","let updated_count_result: <explicit_type> = json::object_get(dynamic_object, ""count"");"
examples/json_examples.asthra,749,auto_type,MEDIUM,Auto type annotation should be explicit type,let updated_count: auto = match updated_count_result {;,let updated_count: <explicit_type> = match updated_count_result {;
examples/json_examples.asthra,753,auto_type,MEDIUM,Auto type annotation should be explicit type,let count_val_result: auto = json::as_number(updated_count);,let count_val_result: <explicit_type> = json::as_number(updated_count);
examples/json_examples.asthra,754,auto_type,MEDIUM,Auto type annotation should be explicit type,let count_val: auto = match count_val_result {;,let count_val: <explicit_type> = match count_val_result {;
examples/json_examples.asthra,767,auto_type,MEDIUM,Auto type annotation should be explicit type,let final_value: auto = json::JSONValue.Object(dynamic_object);,let final_value: <explicit_type> = json::JSONValue.Object(dynamic_object);
examples/json_examples.asthra,768,auto_type,MEDIUM,Auto type annotation should be explicit type,let final_json_result: auto = json::stringify(final_value);,let final_json_result: <explicit_type> = json::stringify(final_value);
examples/json_examples.asthra,769,auto_type,MEDIUM,Auto type annotation should be explicit type,let final_json: auto = match final_json_result {;,let final_json: <explicit_type> = match final_json_result {;
examples/json_examples.asthra,782,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_json_path_queries() -> Result<void, json::JSONError> {","fn example_json_path_queries(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,785,auto_type,MEDIUM,Auto type annotation should be explicit type,let complex_json: auto = '{;,let complex_json: <explicit_type> = '{;
examples/json_examples.asthra,811,auto_type,MEDIUM,Auto type annotation should be explicit type,let root_result: auto = json::parse(complex_json);,let root_result: <explicit_type> = json::parse(complex_json);
examples/json_examples.asthra,812,auto_type,MEDIUM,Auto type annotation should be explicit type,let root: auto = match root_result {;,let root: <explicit_type> = match root_result {;
examples/json_examples.asthra,818,auto_type,MEDIUM,Auto type annotation should be explicit type,"let company_name_result: auto = json::json_path_get(root, ""company.name"");","let company_name_result: <explicit_type> = json::json_path_get(root, ""company.name"");"
examples/json_examples.asthra,821,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_result: auto = json::as_string(name_value);,let name_result: <explicit_type> = json::as_string(name_value);
examples/json_examples.asthra,822,auto_type,MEDIUM,Auto type annotation should be explicit type,let name: auto = match name_result {;,let name: <explicit_type> = match name_result {;
examples/json_examples.asthra,832,auto_type,MEDIUM,Auto type annotation should be explicit type,"let dept_name_result: auto = json::json_path_get(root, ""company.departments.0.name"");","let dept_name_result: <explicit_type> = json::json_path_get(root, ""company.departments.0.name"");"
examples/json_examples.asthra,835,auto_type,MEDIUM,Auto type annotation should be explicit type,let dept_name_result: auto = json::as_string(dept_value);,let dept_name_result: <explicit_type> = json::as_string(dept_value);
examples/json_examples.asthra,836,auto_type,MEDIUM,Auto type annotation should be explicit type,let dept_name: auto = match dept_name_result {;,let dept_name: <explicit_type> = match dept_name_result {;
examples/json_examples.asthra,846,auto_type,MEDIUM,Auto type annotation should be explicit type,"let employee_result: auto = json::json_path_get(root, ""company.departments.0.employees.0.name"");","let employee_result: <explicit_type> = json::json_path_get(root, ""company.departments.0.employees.0.name"");"
examples/json_examples.asthra,849,auto_type,MEDIUM,Auto type annotation should be explicit type,let emp_name_result: auto = json::as_string(emp_value);,let emp_name_result: <explicit_type> = json::as_string(emp_value);
examples/json_examples.asthra,850,auto_type,MEDIUM,Auto type annotation should be explicit type,let emp_name: auto = match emp_name_result {;,let emp_name: <explicit_type> = match emp_name_result {;
examples/json_examples.asthra,860,auto_type,MEDIUM,Auto type annotation should be explicit type,"let founded_result: auto = json::json_path_get(root, ""company.metadata.founded"");","let founded_result: <explicit_type> = json::json_path_get(root, ""company.metadata.founded"");"
examples/json_examples.asthra,863,auto_type,MEDIUM,Auto type annotation should be explicit type,let founded_year_result: auto = json::as_number(founded_value);,let founded_year_result: <explicit_type> = json::as_number(founded_value);
examples/json_examples.asthra,864,auto_type,MEDIUM,Auto type annotation should be explicit type,let founded_year: auto = match founded_year_result {;,let founded_year: <explicit_type> = match founded_year_result {;
examples/json_examples.asthra,880,empty_params,HIGH,Function with empty parameter list should use (none),"fn example_schema_validation() -> Result<void, json::JSONError> {","fn example_schema_validation(none) -> Result<void, json::JSONError> {"
examples/json_examples.asthra,884,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_schema: auto = json::JSONSchema {;,let name_schema: <explicit_type> = json::JSONSchema {;
examples/json_examples.asthra,894,auto_type,MEDIUM,Auto type annotation should be explicit type,let age_schema: auto = json::JSONSchema {;,let age_schema: <explicit_type> = json::JSONSchema {;
examples/json_examples.asthra,906,auto_type,MEDIUM,Auto type annotation should be explicit type,let valid_user_result: auto = json::parse(valid_user_json);,let valid_user_result: <explicit_type> = json::parse(valid_user_json);
examples/json_examples.asthra,907,auto_type,MEDIUM,Auto type annotation should be explicit type,let valid_user: auto = match valid_user_result {;,let valid_user: <explicit_type> = match valid_user_result {;
examples/json_examples.asthra,913,auto_type,MEDIUM,Auto type annotation should be explicit type,"let name_value_result: auto = json::json_path_get(valid_user, ""name"");","let name_value_result: <explicit_type> = json::json_path_get(valid_user, ""name"");"
examples/json_examples.asthra,914,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_value: auto = match name_value_result {;,let name_value: <explicit_type> = match name_value_result {;
examples/json_examples.asthra,918,auto_type,MEDIUM,Auto type annotation should be explicit type,"let name_valid_result: auto = json::validate_schema(name_value, name_schema);","let name_valid_result: <explicit_type> = json::validate_schema(name_value, name_schema);"
examples/json_examples.asthra,919,auto_type,MEDIUM,Auto type annotation should be explicit type,let name_valid: auto = match name_valid_result {;,let name_valid: <explicit_type> = match name_valid_result {;
examples/json_examples.asthra,930,auto_type,MEDIUM,Auto type annotation should be explicit type,"let age_value_result: auto = json::json_path_get(valid_user, ""age"");","let age_value_result: <explicit_type> = json::json_path_get(valid_user, ""age"");"
examples/json_examples.asthra,931,auto_type,MEDIUM,Auto type annotation should be explicit type,let age_value: auto = match age_value_result {;,let age_value: <explicit_type> = match age_value_result {;
examples/json_examples.asthra,935,auto_type,MEDIUM,Auto type annotation should be explicit type,"let age_valid_result: auto = json::validate_schema(age_value, age_schema);","let age_valid_result: <explicit_type> = json::validate_schema(age_value, age_schema);"
examples/json_examples.asthra,936,auto_type,MEDIUM,Auto type annotation should be explicit type,let age_valid: auto = match age_valid_result {;,let age_valid: <explicit_type> = match age_valid_result {;
